fare_id,route_id,origin_id,destination_id,contains_id
114,,SANL,MLBR,
70,,SANL,WDUB,
74,,SANL,RICH,
70,,SANL,DELN,
66,,SANL,PLZA,
63,,SANL,NBRK,
62,,SANL,DBRK,
58,,SANL,ASHB,
54,,SANL,MCAR,
50,,SANL,19TH,
50,,SANL,12TH,
50,,SANL,LAKE,
39,,SANL,FTVL,
39,,SANL,COLS,
115,,SANL,SANL,
39,,SANL,BAYF,
39,,SANL,HAYW,
51,,SANL,SHAY,
65,,SANL,UCTY,
74,,SANL,FRMT,
39,,SANL,CAST,
73,,SANL,DUBL,
108,,SANL,PITT,
98,,SANL,NCON,
99,,SANL,COLM,
94,,SANL,CONC,
86,,SANL,PHIL,
82,,SANL,WCRK,
76,,SANL,LAFY,
68,,SANL,ORIN,
55,,SANL,ROCK,
53,,SANL,WOAK,
90,,SANL,EMBR,
90,,SANL,MONT,
90,,SANL,POWL,
90,,SANL,CIVC,
92,,SANL,16TH,
93,,SANL,24TH,
96,,SANL,GLEN,
97,,SANL,BALB,
99,,SANL,DALY,
159,,SANL,OAKL,
107,,BAYF,SSAN,
113,,BAYF,SBRN,
205,,BAYF,SFIA,
119,,BAYF,MLBR,
39,,BAYF,WDUB,
79,,BAYF,RICH,
74,,BAYF,DELN,
71,,BAYF,PLZA,
67,,BAYF,NBRK,
67,,BAYF,DBRK,
65,,BAYF,ASHB,
61,,BAYF,MCAR,
57,,BAYF,19TH,
57,,BAYF,12TH,
57,,BAYF,LAKE,
48,,BAYF,FTVL,
39,,BAYF,COLS,
39,,BAYF,SANL,
115,,BAYF,BAYF,
39,,BAYF,HAYW,
39,,BAYF,SHAY,
39,,BAYF,UCTY,
39,,BAYF,FRMT,
39,,BAYF,CAST,
39,,BAYF,DUBL,
113,,BAYF,PITT,
102,,BAYF,NCON,
104,,BAYF,COLM,
98,,BAYF,CONC,
90,,BAYF,PHIL,
87,,BAYF,WCRK,
80,,BAYF,LAFY,
72,,BAYF,ORIN,
61,,BAYF,ROCK,
61,,BAYF,WOAK,
95,,BAYF,EMBR,
95,,BAYF,MONT,
95,,BAYF,POWL,
95,,BAYF,CIVC,
96,,BAYF,16TH,
97,,BAYF,24TH,
100,,BAYF,GLEN,
102,,BAYF,BALB,
104,,BAYF,DALY,
159,,BAYF,OAKL,
113,,HAYW,SSAN,
118,,HAYW,SBRN,
211,,HAYW,SFIA,
125,,HAYW,MLBR,
71,,HAYW,WDUB,
84,,HAYW,RICH,
80,,HAYW,DELN,
77,,HAYW,PLZA,
73,,HAYW,NBRK,
72,,HAYW,DBRK,
70,,HAYW,ASHB,
68,,HAYW,MCAR,
66,,HAYW,19TH,
66,,HAYW,12TH,
66,,HAYW,LAKE,
57,,HAYW,FTVL,
51,,HAYW,COLS,
39,,HAYW,SANL,
39,,HAYW,BAYF,
115,,HAYW,HAYW,
39,,HAYW,SHAY,
39,,HAYW,UCTY,
39,,HAYW,FRMT,
39,,HAYW,CAST,
74,,HAYW,DUBL,
118,,HAYW,PITT,
108,,HAYW,NCON,
109,,HAYW,COLM,
104,,HAYW,CONC,
96,,HAYW,PHIL,
93,,HAYW,WCRK,
86,,HAYW,LAFY,
78,,HAYW,ORIN,
68,,HAYW,ROCK,
68,,HAYW,WOAK,
100,,HAYW,EMBR,
100,,HAYW,MONT,
100,,HAYW,POWL,
100,,HAYW,CIVC,
102,,HAYW,16TH,
103,,HAYW,24TH,
106,,HAYW,GLEN,
107,,HAYW,BALB,
110,,HAYW,DALY,
171,,HAYW,OAKL,
119,,SHAY,SSAN,
124,,SHAY,SBRN,
216,,SHAY,SFIA,
131,,SHAY,MLBR,
77,,SHAY,WDUB,
90,,SHAY,RICH,
86,,SHAY,DELN,
83,,SHAY,PLZA,
79,,SHAY,NBRK,
78,,SHAY,DBRK,
76,,SHAY,ASHB,
74,,SHAY,MCAR,
72,,SHAY,19TH,
72,,SHAY,12TH,
72,,SHAY,LAKE,
67,,SHAY,FTVL,
60,,SHAY,COLS,
51,,SHAY,SANL,
39,,SHAY,BAYF,
39,,SHAY,HAYW,
115,,SHAY,SHAY,
39,,SHAY,UCTY,
39,,SHAY,FRMT,
52,,SHAY,CAST,
80,,SHAY,DUBL,
124,,SHAY,PITT,
114,,SHAY,NCON,
115,,SHAY,COLM,
110,,SHAY,CONC,
102,,SHAY,PHIL,
99,,SHAY,WCRK,
92,,SHAY,LAFY,
84,,SHAY,ORIN,
74,,SHAY,ROCK,
74,,SHAY,WOAK,
106,,SHAY,EMBR,
106,,SHAY,MONT,
106,,SHAY,POWL,
106,,SHAY,CIVC,
108,,SHAY,16TH,
109,,SHAY,24TH,
112,,SHAY,GLEN,
113,,SHAY,BALB,
116,,SHAY,DALY,
180,,SHAY,OAKL,
129,,UCTY,SSAN,
134,,UCTY,SBRN,
226,,UCTY,SFIA,
140,,UCTY,MLBR,
86,,UCTY,WDUB,
100,,UCTY,RICH,
96,,UCTY,DELN,
93,,UCTY,PLZA,
89,,UCTY,NBRK,
88,,UCTY,DBRK,
86,,UCTY,ASHB,
83,,UCTY,MCAR,
82,,UCTY,19TH,
82,,UCTY,12TH,
82,,UCTY,LAKE,
76,,UCTY,FTVL,
73,,UCTY,COLS,
65,,UCTY,SANL,
39,,UCTY,BAYF,
39,,UCTY,HAYW,
39,,UCTY,SHAY,
115,,UCTY,UCTY,
39,,UCTY,FRMT,
67,,UCTY,CAST,
90,,UCTY,DUBL,
134,,UCTY,PITT,
124,,UCTY,NCON,
125,,UCTY,COLM,
120,,UCTY,CONC,
111,,UCTY,PHIL,
108,,UCTY,WCRK,
101,,UCTY,LAFY,
94,,UCTY,ORIN,
83,,UCTY,ROCK,
84,,UCTY,WOAK,
116,,UCTY,EMBR,
